"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"2","Proteobacteria","Deltaproteobacteria","Sva1033; Sva1033_ge",0.004,"Deltaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",8.741,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Glaciecola",0.023,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",1.596,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Arenicellaceae; Arenicella",0.051,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Burkholderiaceae; RS62_marine_group",0.165,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Colwelliaceae; Colwellia",0.796,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Halieaceae; Halioglobus",0.237,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.7,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Halieaceae; Marimicrobium",0.13,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",3.799,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Marinobacteraceae; Marinobacter",0.134,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",1.488,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Methylophilaceae; Methylotenera",0.097,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Methylophilaceae; OM43_clade",0.026,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",0.076,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",1.215,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",1.232,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",2.376,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Pseudoalteromonadaceae; Pseudoalteromonas",0.607,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",0.067,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","SAR86_clade_fa; SAR86_clade_ge",0.168,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Saccharospirillaceae; Oleibacter",0.035,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; BD1-7_clade",0.054,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",2.939,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Thioglobaceae; SUP05_cluster",0.087,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Unknown_Family; Candidatus_Carsonella",1.258,"Gammaproteobacteria"
"2","Proteobacteria","Gammaproteobacteria","Vibrionaceae; Vibrio",0.015,"Gammaproteobacteria"
"2","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",0.866,"Mollicutes"
"2","Thaumarchaeota","Nitrososphaeria","Nitrosopumilaceae; Candidatus_Nitrosopumilus",0.002,"Nitrososphaeria"
"2","Verrucomicrobia","Verrucomicrobiae","Chthoniobacteraceae; LD29",0.184,"Verrucomicrobiae"
"2","Verrucomicrobia","Verrucomicrobiae","DEV007; DEV007_ge",0.103,"Verrucomicrobiae"
"2","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",1.433,"Verrucomicrobiae"
"2","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",1.483,"Verrucomicrobiae"
"2","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",2.012,"Verrucomicrobiae"
"2","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Rubritalea",0.757,"Verrucomicrobiae"
"3","Actinobacteria","Acidimicrobiia","Ilumatobacteraceae; Ilumatobacter",1.574,"Acidimicrobiia"
"3","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",0.019,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Algibacter",0.192,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Dokdonia",0.7,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",0.764,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.021,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",1.977,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",0.407,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",11.635,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",9.198,"Bacteroidia"
"3","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",0.243,"Bacteroidia"
"3","Planctomycetes","Phycisphaerae","Phycisphaeraceae; Urania-1B-19_marine_sediment_group",0.016,"Phycisphaerae"
"3","Planctomycetes","Planctomycetacia","Pirellulaceae; Blastopirellula",0.28,"Planctomycetacia"
"3","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",0.031,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Methyloligellaceae; Methyloceanibacter",0.071,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",1.13,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",0.028,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",13.029,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Octadecabacter",0.986,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Profundibacterium",0.102,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sedimentitalea",0.025,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",12.537,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",0.023,"Alphaproteobacteria"
"3","Proteobacteria","Alphaproteobacteria","Sphingomonadaceae; Erythrobacter",0.413,"Alphaproteobacteria"
"3","Proteobacteria","Deltaproteobacteria","Bacteriovoracaceae; Peredibacter",0.032,"Deltaproteobacteria"
"3","Proteobacteria","Deltaproteobacteria","Desulfobulbaceae; uncultured",0.038,"Deltaproteobacteria"
"3","Proteobacteria","Deltaproteobacteria","Sva1033; Sva1033_ge",0.094,"Deltaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",9.447,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Glaciecola",0.111,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",1.436,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Arenicellaceae; Arenicella",0.056,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Colwelliaceae; Colwellia",0.018,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Halieaceae; Halioglobus",0.482,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.657,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Halieaceae; Marimicrobium",0.734,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",3.925,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Marinobacteraceae; Marinobacter",0.245,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",0.025,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",11.74,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",0.623,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",0.904,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",1.894,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Pseudoalteromonadaceae; Pseudoalteromonas",1.087,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",0.042,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Saccharospirillaceae; Oleibacter",0.03,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Saccharospirillaceae; Oleispira",0.22,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Saccharospirillaceae; Reinekea",0.005,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; BD1-7_clade",0.113,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",2.185,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Unknown_Family; Candidatus_Carsonella",0.021,"Gammaproteobacteria"
"3","Proteobacteria","Gammaproteobacteria","Vibrionaceae; Vibrio",0.027,"Gammaproteobacteria"
"3","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",0.021,"Mollicutes"
"3","Verrucomicrobia","Verrucomicrobiae","Chthoniobacteraceae; LD29",0.163,"Verrucomicrobiae"
"3","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",0.876,"Verrucomicrobiae"
"3","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",4.691,"Verrucomicrobiae"
"3","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",2.361,"Verrucomicrobiae"
"3","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Rubritalea",0.036,"Verrucomicrobiae"
"4","Actinobacteria","Acidimicrobiia","Ilumatobacteraceae; Ilumatobacter",0.081,"Acidimicrobiia"
"4","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",2.095,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",2.162,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Algibacter",0.013,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Dokdonia",0.043,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",0.691,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",1.136,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.374,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.584,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",7.197,"Bacteroidia"
"4","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",0.096,"Bacteroidia"
