"cluster","phylum","class","genus","mean_RA_pct","phylum_grp"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",0.837,"Verrucomicrobia"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.12,"Verrucomicrobia"
"C1b1","Verrucomicrobia","Verrucomicrobiae","Rubritalea",0.204,"Verrucomicrobia"
"C1b2","Actinobacteria","Acidimicrobiia","Ilumatobacter",0.295,"Actinobacteria"
"C1b2","Actinobacteria","Acidimicrobiia","Sva0996_marine_group",0.038,"Actinobacteria"
"C1b2","Actinobacteria","Actinobacteria","Candidatus_Aquiluna",0.039,"Actinobacteria"
"C1b2","Asgardaeota","Lokiarchaeia","Lokiarchaeia_ge",0.126,"Other"
"C1b2","Bacteroidetes","Bacteroidia","Aureispira",0.163,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Fabibacter",0.463,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Fluviicola",0.582,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Formosa",2.99,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Lutibacter",0.295,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Marinoscillum",0.337,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS10_marine_group",0.317,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",1.357,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.276,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS3a_marine_group",0.067,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS4_marine_group",1.349,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS5_marine_group",0.789,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS7_marine_group_ge",0.119,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",3.835,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Polaribacter",8.082,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Portibacter",0.078,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Tenacibaculum",1.9,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","Ulvibacter",5.186,"Bacteroidetes"
"C1b2","Bacteroidetes","Bacteroidia","uncultured",7.778,"Bacteroidetes"
"C1b2","Cyanobacteria","Oxyphotobacteria","Trichodesmium_IMS101",0.259,"Cyanobacteria"
"C1b2","Euryarchaeota","Thermoplasmata","Marine_Group_II_ge",0.3,"Euryarchaeota"
"C1b2","Firmicutes","Clostridia","probable_genus_10",0.079,"Other"
"C1b2","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)_cl","Marinimicrobia_(SAR406_clade)_ge",0.159,"Marinimicrobia_(SAR406_clade)"
"C1b2","Nitrospinae","Nitrospinia","LS-NOB",0.075,"Other"
"C1b2","Planctomycetes","OM190","OM190_ge",0.081,"Planctomycetes"
"C1b2","Planctomycetes","Phycisphaerae","Urania-1B-19_marine_sediment_group",0.147,"Planctomycetes"
"C1b2","Planctomycetes","Planctomycetacia","Blastopirellula",0.406,"Planctomycetes"
"C1b2","Proteobacteria","Alphaproteobacteria","AEGEAN-169_marine_group_ge",0.015,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Amylibacter",1.536,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Ascidiaceihabitans",1.023,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_III_ge",0.046,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_II_ge",1.318,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_IV_ge",0.082,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Clade_Ia",6.959,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Litoreibacter",0.045,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Loktanella",2.663,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","OCS116_clade_ge",0.675,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Planktomarina",2.083,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","SAR116_clade_ge",0.725,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Sulfitobacter",2.71,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","Wolbachia",0.229,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","uncultured",0.422,"Proteobacteria"
"C1b2","Proteobacteria","Alphaproteobacteria","uncultured_ge",0.142,"Proteobacteria"
"C1b2","Proteobacteria","Deltaproteobacteria","NB1-j_ge",0.021,"Proteobacteria"
"C1b2","Proteobacteria","Deltaproteobacteria","Peredibacter",0.037,"Proteobacteria"
"C1b2","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)_ge",0.178,"Proteobacteria"
"C1b2","Proteobacteria","Deltaproteobacteria","Sva1033_ge",0.041,"Proteobacteria"
"C1b2","Proteobacteria","Deltaproteobacteria","uncultured",0.044,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Alteromonas",0.77,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","BD7-8_ge",0.147,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Candidatus_Carsonella",0.378,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Colwellia",0.235,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Marimicrobium",0.161,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Marinobacter",0.067,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Methylotenera",0.072,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Moritella",0.025,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",1.912,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","OM43_clade",0.687,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",1.018,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Paraglaciecola",1.112,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Pseudohongiella",0.806,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Psychrobacter",1.056,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Psychromonas",0.141,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","RS62_marine_group",0.083,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Reinekea",0.059,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",2.349,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","SAR92_clade",2.405,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","SUP05_cluster",7.111,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","Thiotrichaceae_ge",0.313,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","endosymbionts2",0.037,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","uncultured",13.756,"Proteobacteria"
"C1b2","Proteobacteria","Gammaproteobacteria","uncultured_ge",0.01,"Proteobacteria"
"C1b2","Spirochaetes","Spirochaetia","uncultured",0.129,"Other"
"C1b2","Tenericutes","Mollicutes","uncultured",2.314,"Other"
"C1b2","Thaumarchaeota","Nitrososphaeria","Candidatus_Nitrosopumilus",1.201,"Thaumarchaeota"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Lentimonas",0.772,"Verrucomicrobia"
"C1b2","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.043,"Verrucomicrobia"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",0.683,"Verrucomicrobia"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.795,"Verrucomicrobia"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Rubritalea",0.239,"Verrucomicrobia"
"C2a","Actinobacteria","Acidimicrobiia","Ilumatobacter",0.241,"Actinobacteria"
"C2a","Actinobacteria","Acidimicrobiia","Sva0996_marine_group",0.035,"Actinobacteria"
"C2a","Actinobacteria","Actinobacteria","Candidatus_Aquiluna",1.23,"Actinobacteria"
"C2a","Bacteroidetes","Bacteroidia","Algibacter",0.203,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Fabibacter",0.006,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Fluviicola",1.142,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Formosa",2.941,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Lutibacter",0.237,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Lutimonas",0.698,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Marinoscillum",1.549,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS10_marine_group",0.267,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",0.962,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS2b_marine_group",0.202,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS3a_marine_group",0.113,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS4_marine_group",1.265,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS5_marine_group",4.859,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS7_marine_group_ge",0.027,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",0.307,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Polaribacter",2.07,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Polaribacter_1",0.535,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Portibacter",0.006,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Rubidimonas",0.057,"Bacteroidetes"
"C2a","Bacteroidetes","Bacteroidia","Tenacibaculum",0.421,"Bacteroidetes"
