"cluster","phylum","class","genus","mean_RA_pct","phylum_grp"
"A2","Proteobacteria","Gammaproteobacteria","Arenicella",0.302,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","BD1-7_clade",0.305,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","Candidatus_Tenderia",0.061,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","Halioglobus",0.551,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","KI89A_clade_ge",0.068,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","Luminiphilus",1.039,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","OM182_clade_ge",9.114,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","OM60(NOR5)_clade",1.496,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","Pseudohongiella",4.83,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","Psychrobacter",3.829,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","Reinekea",0.124,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","SAR86_clade_ge",14.897,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","SAR92_clade",7.405,"Proteobacteria"
"A2","Proteobacteria","Gammaproteobacteria","uncultured",24.091,"Proteobacteria"
"A2","Verrucomicrobia","Verrucomicrobiae","LD29",0.595,"Verrucomicrobia"
"A2","Verrucomicrobia","Verrucomicrobiae","MB11C04_marine_group",0.295,"Verrucomicrobia"
"A2","Verrucomicrobia","Verrucomicrobiae","Persicirhabdus",1.327,"Verrucomicrobia"
"A2","Verrucomicrobia","Verrucomicrobiae","Roseibacillus",0.322,"Verrucomicrobia"
"B1","Bacteroidetes","Bacteroidia","Fluviicola",1.117,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Formosa",0.336,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Lutibacter",0.432,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","Lutimonas",0.233,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","NS10_marine_group",0.016,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","NS11-12_marine_group_ge",3.298,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","NS4_marine_group",1.463,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","NS5_marine_group",0.015,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","NS7_marine_group_ge",0.123,"Bacteroidetes"
"B1","Bacteroidetes","Bacteroidia","NS9_marine_group_ge",1.2,"Bacteroidetes"
