"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"C1b2","Thaumarchaeota","Nitrososphaeria","Nitrosopumilaceae; Candidatus_Nitrosopumilus",1.201,"Nitrososphaeria"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",0.772,"Verrucomicrobiae"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",0.683,"Verrucomicrobiae"
"C1b2","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Roseibacillus",0.795,"Verrucomicrobiae"
"C2a","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",1.142,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Cryomorphaceae; NS10_marine_group",0.267,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",1.6,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",1.549,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",2.941,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.237,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.698,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",1.265,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",4.859,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",2.07,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",0.535,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",0.421,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",3.605,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",1.369,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",0.962,"Bacteroidia"
"C2a","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",0.307,"Bacteroidia"
"C2a","Patescibacteria","Gracilibacteria","JGI_0000069-P22_fa; JGI_0000069-P22_ge",0.241,"Gracilibacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",18.704,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Clade_II; Clade_II_ge",0.274,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Clade_III; Clade_III_ge",1.63,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Magnetospiraceae; uncultured",1.049,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",1.204,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",1.218,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",0.362,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Planktomarina",3.094,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",0.844,"Alphaproteobacteria"
"C2a","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",2.847,"Alphaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",0.174,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",0.111,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Burkholderiaceae; RS62_marine_group",0.571,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.27,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",2.046,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",0.202,"Gammaproteobacteria"
"C2a","Proteobacteria","Gammaproteobacteria","Methylophilaceae; Methylotenera",0.147,"Gammaproteobacteria"
