"cluster","fam_gen","class","mean_RA_pct"
"C2a","Clade_I; Clade_Ia","Alphaproteobacteria",19.815
"C2a","Crocinitomicaceae; Fluviicola","Bacteroidia",1.207
"C2a","Cryomorphaceae; uncultured","Bacteroidia",1.694
"C2a","Cyclobacteriaceae; Marinoscillum","Bacteroidia",1.637
"C2a","Flavobacteriaceae; Formosa","Bacteroidia",3.132
"C2a","Flavobacteriaceae; NS4_marine_group","Bacteroidia",1.338
"C2a","Flavobacteriaceae; NS5_marine_group","Bacteroidia",5.131
"C2a","Flavobacteriaceae; Polaribacter","Bacteroidia",2.192
"C2a","Flavobacteriaceae; Polaribacter_1","Bacteroidia",0.563
"C2a","Flavobacteriaceae; Tenacibaculum","Bacteroidia",0.445
"C2a","Flavobacteriaceae; Ulvibacter","Bacteroidia",3.811
"C2a","Flavobacteriaceae; uncultured","Bacteroidia",1.46
"C2a","Halieaceae; Luminiphilus","Gammaproteobacteria",0.287
"C2a","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",2.169
"C2a","Methylophagaceae; uncultured","Gammaproteobacteria",0.213
"C2a","Methylophilaceae; OM43_clade","Gammaproteobacteria",1.105
"C2a","Moraxellaceae; Psychrobacter","Gammaproteobacteria",1.871
"C2a","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",1.019
"C2a","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",0.325
"C2a","Nitrincolaceae; uncultured","Gammaproteobacteria",13.268
"C2a","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",3.444
"C2a","Porticoccaceae; SAR92_clade","Gammaproteobacteria",2.198
"C2a","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",1.311
"C2a","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.28
"C2a","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",1.288
"C2a","Rhodobacteraceae; Loktanella","Alphaproteobacteria",0.383
"C2a","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",3.27
"C2a","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",0.895
"C2a","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",3.014
"C2a","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",6.536
"C2a","Spongiibacteraceae; uncultured","Gammaproteobacteria",0.424
"C2a","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",2.582
"C2b1","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",0.087
"C2b1","Clade_I; Clade_Ia","Alphaproteobacteria",0.329
"C2b1","Crocinitomicaceae; Fluviicola","Bacteroidia",2.927
"C2b1","Cryomorphaceae; uncultured","Bacteroidia",0.667
"C2b1","Cyclobacteriaceae; Marinoscillum","Bacteroidia",2.602
"C2b1","Flavobacteriaceae; Formosa","Bacteroidia",5.637
"C2b1","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.159
"C2b1","Flavobacteriaceae; NS5_marine_group","Bacteroidia",5.892
"C2b1","Flavobacteriaceae; Polaribacter","Bacteroidia",4.732
"C2b1","Flavobacteriaceae; Polaribacter_1","Bacteroidia",1.047
"C2b1","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.337
"C2b1","Flavobacteriaceae; Ulvibacter","Bacteroidia",1.374
"C2b1","Flavobacteriaceae; uncultured","Bacteroidia",2.296
"C2b1","Halieaceae; Luminiphilus","Gammaproteobacteria",0.076
"C2b1","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",2.562
"C2b1","Methylophagaceae; uncultured","Gammaproteobacteria",0.595
"C2b1","Methylophilaceae; OM43_clade","Gammaproteobacteria",0.306
"C2b1","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.116
"C2b1","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",4.608
"C2b1","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",1.459
"C2b1","Nitrincolaceae; uncultured","Gammaproteobacteria",18.177
"C2b1","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",8.765
"C2b1","Porticoccaceae; SAR92_clade","Gammaproteobacteria",5.698
"C2b1","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",1.243
"C2b1","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",1.191
"C2b1","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",0.239
"C2b1","Rhodobacteraceae; Loktanella","Alphaproteobacteria",1.853
"C2b1","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",6.391
"C2b1","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",4.266
"C2b1","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.079
"C2b1","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",4.377
"C2b1","Spongiibacteraceae; uncultured","Gammaproteobacteria",0.036
"C2b1","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",0.061
"C2b2","Alteromonadaceae; Alteromonas","Gammaproteobacteria",0.262
"C2b2","Alteromonadaceae; Paraglaciecola","Gammaproteobacteria",1.429
"C2b2","Clade_I; Clade_Ia","Alphaproteobacteria",5.962
"C2b2","Crocinitomicaceae; Fluviicola","Bacteroidia",1.147
"C2b2","Cryomorphaceae; uncultured","Bacteroidia",3.154
"C2b2","Cyclobacteriaceae; Marinoscillum","Bacteroidia",1.016
"C2b2","Flavobacteriaceae; Formosa","Bacteroidia",2.624
"C2b2","Flavobacteriaceae; NS4_marine_group","Bacteroidia",0.595
"C2b2","Flavobacteriaceae; NS5_marine_group","Bacteroidia",2.314
"C2b2","Flavobacteriaceae; Polaribacter","Bacteroidia",6.358
"C2b2","Flavobacteriaceae; Polaribacter_1","Bacteroidia",0.939
"C2b2","Flavobacteriaceae; Tenacibaculum","Bacteroidia",2.351
"C2b2","Flavobacteriaceae; Ulvibacter","Bacteroidia",7.273
"C2b2","Flavobacteriaceae; uncultured","Bacteroidia",4.726
"C2b2","Halieaceae; Luminiphilus","Gammaproteobacteria",0.396
"C2b2","Halieaceae; OM60(NOR5)_clade","Gammaproteobacteria",1.064
"C2b2","Methylophagaceae; uncultured","Gammaproteobacteria",0.867
"C2b2","Methylophilaceae; OM43_clade","Gammaproteobacteria",0.47
"C2b2","Moraxellaceae; Psychrobacter","Gammaproteobacteria",0.067
"C2b2","NS11-12_marine_group; NS11-12_marine_group_ge","Bacteroidia",3.226
"C2b2","NS9_marine_group; NS9_marine_group_ge","Bacteroidia",1.237
"C2b2","Nitrincolaceae; uncultured","Gammaproteobacteria",23.703
"C2b2","OM182_clade_fa; OM182_clade_ge","Gammaproteobacteria",4.266
"C2b2","Porticoccaceae; SAR92_clade","Gammaproteobacteria",3.173
"C2b2","Pseudohongiellaceae; Pseudohongiella","Gammaproteobacteria",0.579
"C2b2","Rhodobacteraceae; Amylibacter","Alphaproteobacteria",0.726
"C2b2","Rhodobacteraceae; Ascidiaceihabitans","Alphaproteobacteria",1.016
"C2b2","Rhodobacteraceae; Loktanella","Alphaproteobacteria",1.751
"C2b2","Rhodobacteraceae; Planktomarina","Alphaproteobacteria",2.781
"C2b2","Rhodobacteraceae; Sulfitobacter","Alphaproteobacteria",3.669
"C2b2","SAR116_clade; SAR116_clade_ge","Alphaproteobacteria",0.314
"C2b2","SAR86_clade_fa; SAR86_clade_ge","Gammaproteobacteria",1.863
"C2b2","Spongiibacteraceae; uncultured","Gammaproteobacteria",1.359
"C2b2","Thioglobaceae; SUP05_cluster","Gammaproteobacteria",1.612
