"sample_cluster","col_cluster","ASV","short_name","mean_in","mean_out"
"B2a","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (62); ESV_678","Amylibacter (62); ESV_678",0.001262,0.000662
"B2a","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (95); ESV_1234","Halioglobus (95); ESV_1234",0.001176,0.000342
"B2a","CC2","Alteromonadales (100); Alteromonadaceae (100); Alteromonas (100); ESV_50","Alteromonas (100); ESV_50",0.019538,0.002389
"B2a","CC2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","NS4_marine_group (100); ESV_220",0.002474,0.004138
"B2a","CC2","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.002069,0.002942
"B2a","CC2","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Tenacibaculum (92); ESV_418",0.000901,0.003193
"B2a","CC2","Rhodobacterales (100); Rhodobacteraceae (100); uncultured (94); ESV_792","uncultured (94); ESV_792",0.000897,0.000374
"B2a","CC3","Verrucomicrobiales (100); DEV007 (84); DEV007_ge (84); ESV_1187","DEV007_ge (84); ESV_1187",0.001032,3.4e-05
"B2a","CC3","Chthoniobacterales (100); Chthoniobacteraceae (82); LD29 (82); ESV_327","LD29 (82); ESV_327",0.001027,0.000862
"B2a","CC3","SAR11_clade (100); Clade_III (100); Clade_III_ge (100); ESV_151","Clade_III_ge (100); ESV_151",0.000965,0.002407
"B2a","CC3","Flavobacteriales (98); NS7_marine_group (98); NS7_marine_group_ge (98); ESV_952","NS7_marine_group_ge (98); ESV_952",7e-05,1.9e-05
"B2a","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.041132,0.019883
"B2a","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.025353,0.020802
"B2a","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.01287,0.011324
"B2a","CC4","Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","Marinoscillum (100); ESV_217",0.003913,0.008906
"B2a","CC4","Verrucomicrobiales (100); Rubritaleaceae (100); Roseibacillus (99); ESV_59","Roseibacillus (99); ESV_59",0.002784,0.001108
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (70); ESV_196","Polaribacter_1 (70); ESV_196",0.019235,0.001475
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","uncultured (100); ESV_130",0.015255,0.010472
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.012803,0.002305
"B2a","CC5","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_149","NS4_marine_group (100); ESV_149",0.008157,0.001367
"B2a","CC5","OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_1503","OM182_clade_ge (100); ESV_1503",0.008147,0.001065
"B2a","CC6","Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4","uncultured (100); ESV_4",0.170449,0.169168
"B2a","CC6","SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","Clade_Ia (100); ESV_1",0.059137,0.076287
"B2a","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.054292,0.042731
"B2a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7","Polaribacter (94); ESV_7",0.053248,0.048351
"B2a","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Ulvibacter (99); ESV_9",0.040352,0.053251
"B2b","CC1","Pseudomonadales (87); Moraxellaceae (87); Psychrobacter (83); ESV_364","Psychrobacter (83); ESV_364",0.007161,0.00665
"B2b","CC1","Cellvibrionales (100); Halieaceae (100); Halioglobus (96); ESV_1031","Halioglobus (96); ESV_1031",0.002435,0.001383
"B2b","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (62); ESV_678","Amylibacter (62); ESV_678",0.00182,0.000533
"B2b","CC1","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (93); ESV_354","Polaribacter (93); ESV_354",0.001146,0.000169
"B2b","CC1","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_597","Sulfitobacter (99); ESV_597",0.000965,5.2e-05
"B2b","CC2","Flavobacteriales (100); Flavobacteriaceae (100); Tenacibaculum (92); ESV_418","Tenacibaculum (92); ESV_418",0.002869,0.002996
"B2b","CC2","Puniceispirillales (100); SAR116_clade (100); SAR116_clade_ge (100); ESV_457","SAR116_clade_ge (100); ESV_457",0.001457,0.002618
"B2b","CC2","Alteromonadales (100); Alteromonadaceae (100); Alteromonas (100); ESV_50","Alteromonas (100); ESV_50",0.001214,0.004467
"B2b","CC2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_220","NS4_marine_group (100); ESV_220",0.000997,0.004483
"B2b","CC2","Flavobacteriales (96); NS9_marine_group (92); NS9_marine_group_ge (92); ESV_238","NS9_marine_group_ge (92); ESV_238",0.000981,0.003175
"B2b","CC3","SAR11_clade (100); Clade_III (100); Clade_III_ge (100); ESV_151","Clade_III_ge (100); ESV_151",0.00059,0.002553
"B2b","CC3","SAR11_clade (100); Clade_II (100); Clade_II_ge (100); ESV_98","Clade_II_ge (100); ESV_98",0.000137,0.000619
"B2b","CC4","Rhodobacterales (100); Rhodobacteraceae (100); Planktomarina (85); ESV_30","Planktomarina (85); ESV_30",0.005064,0.023941
"B2b","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_8","SAR86_clade_ge (100); ESV_8",0.004353,0.024819
"B2b","CC4","Flavobacteriales (100); Flavobacteriaceae (100); Formosa (83); ESV_6","Formosa (83); ESV_6",0.002757,0.023107
"B2b","CC4","Cytophagales (100); Cyclobacteriaceae (100); Marinoscillum (100); ESV_217","Marinoscillum (100); ESV_217",0.001732,0.009561
"B2b","CC4","SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_37","SAR86_clade_ge (100); ESV_37",0.001089,0.01321
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_130","uncultured (100); ESV_130",0.029192,0.007856
"B2b","CC5","Cellvibrionales (100); Porticoccaceae (100); SAR92_clade (100); ESV_261","SAR92_clade (100); ESV_261",0.012463,0.003589
"B2b","CC5","Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_709","NS11-12_marine_group_ge (100); ESV_709",0.010619,0.001854
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter_1 (90); ESV_322","Polaribacter_1 (90); ESV_322",0.009418,0.001522
"B2b","CC5","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (85); ESV_676","Polaribacter (85); ESV_676",0.006899,0.002686
"B2b","CC6","Oceanospirillales (100); Nitrincolaceae (100); uncultured (100); ESV_4","uncultured (100); ESV_4",0.224386,0.160046
"B2b","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Ulvibacter (99); ESV_9","Ulvibacter (99); ESV_9",0.09869,0.044215
"B2b","CC6","Flavobacteriales (100); Flavobacteriaceae (100); Polaribacter (94); ESV_7","Polaribacter (94); ESV_7",0.066753,0.045802
"B2b","CC6","SAR11_clade (100); Clade_I (100); Clade_Ia (100); ESV_1","Clade_Ia (100); ESV_1",0.058317,0.077421
"B2b","CC6","Rhodobacterales (100); Rhodobacteraceae (100); Sulfitobacter (99); ESV_26","Sulfitobacter (99); ESV_26",0.046576,0.043354
