"s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","index","stat","p.value","ASV","indicator_cluster"
0,0,0,0,0,1,1,0,0,0,46,0.737350184930592,0.001,"Thiotrichales (100); Thiotrichaceae (100); uncultured (100); ESV_2448","6+7"
0,0,0,0,0,0,0,1,0,0,8,0.577350269189626,0.001,"Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (88); ESV_2652","8"
0,0,0,1,0,0,0,1,0,0,38,0.5559947707288,0.001,"Chitinophagales (94); Saprospiraceae (94); Rubidimonas (70); ESV_2698","4+8"
0,1,0,1,0,0,0,0,0,0,21,0.592339573004989,0.001,"OM182_clade (100); OM182_clade_fa (100); OM182_clade_ge (100); ESV_2721","2+4"
0,0,0,0,0,0,0,1,0,0,8,0.47584649011477,0.001,"Cytophagales (93); Cyclobacteriaceae (58); uncultured (36); ESV_3179","8"
0,0,0,0,0,0,1,0,0,0,7,0.632455532033676,0.001,"Nostocales (5); Phormidiaceae (4); Trichodesmium_IMS101 (4); ESV_3693","7"
0,0,1,0,0,0,0,0,0,0,3,0.41340282420403,0.002,"Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_338","3"
0,0,1,0,0,0,1,0,0,0,31,0.505291152639911,0.002,"SAR324_clade(Marine_group_B) (100); SAR324_clade(Marine_group_B)_fa (100); SAR324_clade(Marine_group_B)_ge (100); ESV_424","3+7"
0,0,1,1,0,1,0,0,0,0,121,0.518076509727637,0.002,"Flavobacteriales (100); Crocinitomicaceae (100); Fluviicola (85); ESV_864","3+4+6"
0,1,0,0,0,0,1,1,0,0,114,0.581462146716356,0.002,"Diplorickettsiales (5); Diplorickettsiaceae (5); uncultured (5); ESV_2764","2+7+8"
0,1,0,0,0,0,0,1,0,0,25,0.522812780727861,0.002,"SAR86_clade (100); SAR86_clade_fa (100); SAR86_clade_ge (100); ESV_3710","2+8"
0,0,1,0,0,0,0,0,0,0,3,0.468925744784915,0.002,"Chitinivibrionales (18); Chitinivibrionaceae (18); Chitinivibrio (18); ESV_9969","3"
0,0,0,0,0,1,0,1,0,1,170,0.507941051396026,0.003,"Microtrichales (100); Microtrichaceae (100); Sva0996_marine_group (100); ESV_343","6+8+10"
0,1,0,1,0,0,0,1,0,0,102,0.495007625025872,0.003,"Arenicellales (99); Arenicellaceae (99); Arenicella (99); ESV_825","2+4+8"
0,0,0,0,0,0,0,1,1,1,175,0.478548536756757,0.003,"Flavobacteriales (100); Flavobacteriaceae (100); Algibacter (96); ESV_984","8+9+10"
0,1,0,0,0,0,0,0,0,0,2,0.447213595499958,0.003,"Frankiales (68); Sporichthyaceae (64); hgcI_clade (43); ESV_3032","2"
0,0,0,0,0,0,0,1,0,1,54,0.476335148222146,0.004,"Chromatiales (65); Sedimenticolaceae (65); uncultured (65); ESV_208","8+10"
0,0,0,0,0,1,0,1,0,0,47,0.461194112510348,0.004,"Nitrosopumilales (100); Nitrosopumilaceae (100); Candidatus_Nitrosopumilus (100); ESV_910","6+8"
0,0,0,0,0,0,1,0,0,0,7,0.447213595499958,0.004,"Thiotrichales (2); Thiotrichaceae (2); uncultured (2); ESV_1880","7"
0,0,0,1,0,0,0,0,0,0,4,0.470539469456691,0.004,"Flavobacteriales (100); Flavobacteriaceae (100); uncultured (100); ESV_4334","4"
0,1,0,1,1,0,0,0,0,0,99,0.481473066291225,0.005,"Rhodobacterales (100); Rhodobacteraceae (100); Amylibacter (62); ESV_678","2+4+5"
0,0,1,1,0,1,0,0,0,0,121,0.433012701892219,0.005,"Flavobacteriales (100); Flavobacteriaceae (100); Lutimonas (56); ESV_1019","3+4+6"
0,0,0,0,0,0,1,0,0,1,52,0.431787769588373,0.005,"Bacteroidales (23); Bacteroidetes_BD2-2 (13); Bacteroidetes_BD2-2_ge (13); ESV_3603","7+10"
0,0,0,0,0,1,0,0,0,0,6,0.448897817126397,0.006,"Alteromonadales (100); Moritellaceae (100); Moritella (100); ESV_654","6"
0,0,0,0,0,0,1,0,0,1,52,0.499186251286761,0.006,"Verrucomicrobiales (100); Rubritaleaceae (100); Rubritalea (99); ESV_758","7+10"
0,0,1,0,0,0,1,0,0,0,31,0.432414015377787,0.006,"Sphingobacteriales (100); NS11-12_marine_group (100); NS11-12_marine_group_ge (100); ESV_830","3+7"
1,0,0,0,0,1,0,0,0,0,15,0.476005327852417,0.006,"JGI_0000069-P22 (11); JGI_0000069-P22_fa (11); JGI_0000069-P22_ge (11); ESV_1988","1+6"
0,0,1,0,0,1,0,0,0,0,30,0.465527728035095,0.006,"Bacteroidales (100); Marinifilaceae (100); uncultured (100); ESV_4665","3+6"
0,1,0,0,0,0,0,1,0,0,25,0.45087986013944,0.007,"Parvibaculales (79); Parvibaculaceae (78); uncultured (78); ESV_1091","2+8"
0,0,0,0,0,1,1,1,0,0,166,0.443202630213959,0.007,"OM190_or (100); OM190_fa (100); OM190_ge (100); ESV_1126","6+7+8"
0,0,0,0,0,1,1,0,0,0,46,0.434547822917866,0.007,"Flavobacteriales (88); Cryomorphaceae (27); uncultured (27); ESV_1379","6+7"
0,0,1,0,0,0,1,0,0,0,31,0.454367218618545,0.008,"Marine_Group_II (100); Marine_Group_II_fa (100); Marine_Group_II_ge (100); ESV_485","3+7"
