"cluster","ASV","short_name","mean_in","mean_out","ratio","pval","padj"
"C2b2","SAR324_clade(Marine_group_B) (100); SAR324_clade(Marine_group_B)_fa (100); SAR324_clade(Marine_group_B)_ge (100); ESV_610","SAR324_clade(Marine_group_B)_ge (100); ESV_610",0.000479,1e-04,4.7,0.00519,0.0391
"C2b2","Campylobacterales (100); Arcobacteraceae (100); Arcobacter (100); ESV_6733","Arcobacter (100); ESV_6733",0.000161,3.3e-05,4.7,0.00387,0.0299
"C2b2","Alteromonadales (100); Colwelliaceae (100); Colwellia (100); ESV_479","Colwellia (100); ESV_479",0.001937,0.000462,4.2,6.63e-07,1.38e-05
"C2b2","Nitrosococcales (96); Methylophagaceae (96); uncultured (80); ESV_763","uncultured (80); ESV_763",0.005134,0.001267,4.1,9.36e-06,0.000147
"C2b2","NB1-j (98); NB1-j_fa (98); NB1-j_ge (98); ESV_661","NB1-j_ge (98); ESV_661",0.000847,0.000229,3.7,2.83e-06,5.25e-05
"C2b2","Flavobacteriales (100); Flavobacteriaceae (100); NS4_marine_group (100); ESV_622","NS4_marine_group (100); ESV_622",0.003776,0.001066,3.5,0.000251,0.00269
"C2b2","Nitrosococcales (88); Methylophagaceae (88); uncultured (78); ESV_156","uncultured (78); ESV_156",0.003173,0.000921,3.4,0.000719,0.00677
"C2b2","Flavobacteriales (99); Flavobacteriaceae (99); Lutibacter (87); ESV_1264","Lutibacter (87); ESV_1264",0.001433,0.000456,3.1,0.00497,0.0376
"C2b2","Cellvibrionales (100); Porticoccaceae (100); Porticoccus (100); ESV_377","Porticoccus (100); ESV_377",0.001332,0.000429,3.1,6.16e-06,0.000101
"C2b2","uncultured (4); uncultured_fa (4); uncultured_ge (4); ESV_3020","uncultured_ge (4); ESV_3020",0.000118,3.9e-05,3,0.00146,0.0127
"C2b2","Flavobacteriales (100); Cryomorphaceae (100); uncultured (100); ESV_959","uncultured (100); ESV_959",0.002385,0.000813,2.9,0.00493,0.0375
"C2b2","Flavobacteriales (100); Cryomorphaceae (100); NS10_marine_group (100); ESV_1155","NS10_marine_group (100); ESV_1155",0.004663,0.001762,2.6,7.71e-07,1.59e-05
"C2b2","Bacteroidales (23); Bacteroidetes_BD2-2 (13); Bacteroidetes_BD2-2_ge (13); ESV_3603","Bacteroidetes_BD2-2_ge (13); ESV_3603",0.000132,5.1e-05,2.6,0.000265,0.0028
"C2b2","Rhodobacterales (100); Rhodobacteraceae (100); Ascidiaceihabitans (98); ESV_198","Ascidiaceihabitans (98); ESV_198",0.009651,0.003782,2.6,2.47e-06,4.62e-05
"C2b2","Rhodospirillales (54); Magnetospiraceae (40); uncultured (27); ESV_262","uncultured (27); ESV_262",0.003404,0.001381,2.5,1.26e-09,4.94e-08
"C2b2","Flavobacteriales (100); NS9_marine_group (100); NS9_marine_group_ge (100); ESV_133","NS9_marine_group_ge (100); ESV_133",0.004962,0.00202,2.5,2.17e-06,4.09e-05
"C2b2","Betaproteobacteriales (100); Burkholderiaceae (81); RS62_marine_group (51); ESV_288","RS62_marine_group (51); ESV_288",0.004286,0.001824,2.3,3.45e-11,1.82e-09
"C2b2","Flavobacteriales (100); Flavobacteriaceae (100); Algibacter (96); ESV_984","Algibacter (96); ESV_984",0.000885,0.000398,2.2,0.000633,0.00614
"C2b2","Flavobacteriales (100); Flavobacteriaceae (100); NS5_marine_group (62); ESV_101","NS5_marine_group (62); ESV_101",0.014349,0.006745,2.1,2.42e-10,1.12e-08
"C2b2","Betaproteobacteriales (100); Methylophilaceae (100); OM43_clade (100); ESV_370","OM43_clade (100); ESV_370",0.003016,0.001484,2,0.00151,0.013
