"PC","test","pair","R2","F_value","p_value","sig"
"PC2","Pairwise PERMDISP","C1a vs C2b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.981,"ns"
"PC2","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,0.9977,"ns"
"PC2","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,0.9995,"ns"
"PC2","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,0.9913,"ns"
"PC2","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.9996,"ns"
"PC2","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C2a vs C2b1",NA,NA,1,"ns"
"PC2","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9999,"ns"
"PC2","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
"PC3","PERMANOVA (overall)","11 clusters",0.2003,4.08,0.001,"***"
"PC3","PERMDISP (overall)","11 clusters",NA,3.54,3e-04,"***"
"PC3","Pairwise PERMANOVA","A1 vs A2",0.1075,2.65,0.2182,"ns"
"PC3","Pairwise PERMANOVA","A1 vs B1",0.199,5.72,0.0856,"ns"
"PC3","Pairwise PERMANOVA","A1 vs B2a",0.3873,14.54,0.0092,"**"
"PC3","Pairwise PERMANOVA","A1 vs B2b",0.3783,19.47,0.0092,"**"
"PC3","Pairwise PERMANOVA","A1 vs C1a",0.0079,0.17,0.7538,"ns"
"PC3","Pairwise PERMANOVA","A1 vs C1b1",0.0131,0.23,0.7363,"ns"
"PC3","Pairwise PERMANOVA","A1 vs C1b2",0.1604,4.97,0.0856,"ns"
"PC3","Pairwise PERMANOVA","A1 vs C2a",0.0658,1.34,0.4118,"ns"
"PC3","Pairwise PERMANOVA","A1 vs C2b1",0.236,5.87,0.0733,"ns"
"PC3","Pairwise PERMANOVA","A1 vs C2b2",0.2053,8.52,0.0596,"ns"
"PC3","Pairwise PERMANOVA","A2 vs B1",0.0889,2.83,0.2057,"ns"
"PC3","Pairwise PERMANOVA","A2 vs B2a",0.2538,9.86,0.0122,"*"
"PC3","Pairwise PERMANOVA","A2 vs B2b",0.2602,13.36,0.0165,"*"
"PC3","Pairwise PERMANOVA","A2 vs C1a",0.0294,0.82,0.5057,"ns"
"PC3","Pairwise PERMANOVA","A2 vs C1b1",0.0465,1.12,0.4358,"ns"
"PC3","Pairwise PERMANOVA","A2 vs C1b2",0.0084,0.27,0.7363,"ns"
"PC3","Pairwise PERMANOVA","A2 vs C2a",0.0192,0.49,0.681,"ns"
"PC3","Pairwise PERMANOVA","A2 vs C2b1",0.0968,2.68,0.2182,"ns"
"PC3","Pairwise PERMANOVA","A2 vs C2b2",0.0767,3.24,0.1756,"ns"
"PC3","Pairwise PERMANOVA","B1 vs B2a",1e-04,0,0.984,"ns"
"PC3","Pairwise PERMANOVA","B1 vs B2b",0.0058,0.23,0.7363,"ns"
"PC3","Pairwise PERMANOVA","B1 vs C1a",0.1248,3.99,0.1627,"ns"
"PC3","Pairwise PERMANOVA","B1 vs C1b1",0.1484,4.18,0.145,"ns"
"PC3","Pairwise PERMANOVA","B1 vs C1b2",0.0713,2.53,0.2182,"ns"
"PC3","Pairwise PERMANOVA","B1 vs C2a",0.1348,4.05,0.1483,"ns"
"PC3","Pairwise PERMANOVA","B1 vs C2b1",0.0028,0.07,0.8398,"ns"
"PC3","Pairwise PERMANOVA","B1 vs C2b2",0.0047,0.19,0.7363,"ns"
"PC3","Pairwise PERMANOVA","B2a vs B2b",0.0214,0.85,0.4922,"ns"
"PC3","Pairwise PERMANOVA","B2a vs C1a",0.1927,6.68,0.0733,"ns"
"PC3","Pairwise PERMANOVA","B2a vs C1b1",0.3168,11.13,0.0122,"*"
"PC3","Pairwise PERMANOVA","B2a vs C1b2",0.2256,9.61,0.02,"*"
"PC3","Pairwise PERMANOVA","B2a vs C2a",0.4392,20.37,0.0092,"**"
"PC3","Pairwise PERMANOVA","B2a vs C2b1",0.0062,0.16,0.7538,"ns"
"PC3","Pairwise PERMANOVA","B2a vs C2b2",0.0075,0.3,0.7325,"ns"
"PC3","Pairwise PERMANOVA","B2b vs C1a",0.2379,11.55,0.0092,"**"
"PC3","Pairwise PERMANOVA","B2b vs C1b1",0.317,15.32,0.0092,"**"
"PC3","Pairwise PERMANOVA","B2b vs C1b2",0.2411,13.34,0.0122,"*"
"PC3","Pairwise PERMANOVA","B2b vs C2a",0.362,19.86,0.0092,"**"
"PC3","Pairwise PERMANOVA","B2b vs C2b1",0.0286,1.03,0.4358,"ns"
"PC3","Pairwise PERMANOVA","B2b vs C2b2",0.0348,1.77,0.2815,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C1b1",0,0,0.984,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C1b2",0.0544,1.78,0.3056,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C2a",0.0092,0.22,0.7363,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C2b1",0.1179,3.21,0.1738,"ns"
"PC3","Pairwise PERMANOVA","C1a vs C2b2",0.1224,5.3,0.1071,"ns"
"PC3","Pairwise PERMANOVA","C1b1 vs C1b2",0.0864,2.55,0.2182,"ns"
"PC3","Pairwise PERMANOVA","C1b1 vs C2a",0.0159,0.32,0.7022,"ns"
"PC3","Pairwise PERMANOVA","C1b1 vs C2b1",0.1725,4.17,0.1388,"ns"
"PC3","Pairwise PERMANOVA","C1b1 vs C2b2",0.1468,5.85,0.0733,"ns"
"PC3","Pairwise PERMANOVA","C1b2 vs C2a",0.0614,1.9,0.2844,"ns"
"PC3","Pairwise PERMANOVA","C1b2 vs C2b1",0.0718,2.24,0.2383,"ns"
"PC3","Pairwise PERMANOVA","C1b2 vs C2b2",0.0559,2.55,0.2286,"ns"
"PC3","Pairwise PERMANOVA","C2a vs C2b1",0.1763,4.71,0.1388,"ns"
"PC3","Pairwise PERMANOVA","C2a vs C2b2",0.13,5.38,0.0856,"ns"
"PC3","Pairwise PERMANOVA","C2b1 vs C2b2",2e-04,0.01,0.962,"ns"
"PC3","Pairwise PERMDISP","A1 vs A2",NA,NA,0.9428,"ns"
"PC3","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","A1 vs B2a",NA,NA,0.2229,"ns"
"PC3","Pairwise PERMDISP","A1 vs B2b",NA,NA,0.6574,"ns"
"PC3","Pairwise PERMDISP","A1 vs C1a",NA,NA,0.9612,"ns"
"PC3","Pairwise PERMDISP","A1 vs C1b1",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","A1 vs C1b2",NA,NA,0.6841,"ns"
"PC3","Pairwise PERMDISP","A1 vs C2a",NA,NA,0.5292,"ns"
"PC3","Pairwise PERMDISP","A1 vs C2b1",NA,NA,0.9977,"ns"
"PC3","Pairwise PERMDISP","A1 vs C2b2",NA,NA,0.9658,"ns"
"PC3","Pairwise PERMDISP","A2 vs B1",NA,NA,0.9209,"ns"
"PC3","Pairwise PERMDISP","A2 vs B2a",NA,NA,0.9379,"ns"
"PC3","Pairwise PERMDISP","A2 vs B2b",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.0708,"ns"
"PC3","Pairwise PERMDISP","A2 vs C1b1",NA,NA,0.9658,"ns"
"PC3","Pairwise PERMDISP","A2 vs C1b2",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.9975,"ns"
"PC3","Pairwise PERMDISP","A2 vs C2b1",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","A2 vs C2b2",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.1102,"ns"
"PC3","Pairwise PERMDISP","B1 vs B2b",NA,NA,0.4923,"ns"
"PC3","Pairwise PERMDISP","B1 vs C1a",NA,NA,0.82,"ns"
"PC3","Pairwise PERMDISP","B1 vs C1b1",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","B1 vs C1b2",NA,NA,0.548,"ns"
"PC3","Pairwise PERMDISP","B1 vs C2a",NA,NA,0.4084,"ns"
"PC3","Pairwise PERMDISP","B1 vs C2b1",NA,NA,0.9981,"ns"
"PC3","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.9462,"ns"
"PC3","Pairwise PERMDISP","B2a vs B2b",NA,NA,0.9928,"ns"
"PC3","Pairwise PERMDISP","B2a vs C1a",NA,NA,4e-04,"***"
"PC3","Pairwise PERMDISP","B2a vs C1b1",NA,NA,0.2542,"ns"
"PC3","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.9969,"ns"
"PC3","Pairwise PERMDISP","B2a vs C2a",NA,NA,1,"ns"
"PC3","Pairwise PERMDISP","B2a vs C2b1",NA,NA,0.7485,"ns"
"PC3","Pairwise PERMDISP","B2a vs C2b2",NA,NA,0.7124,"ns"
"PC3","Pairwise PERMDISP","B2b vs C1a",NA,NA,0.0041,"**"
"PC3","Pairwise PERMDISP","B2b vs C1b1",NA,NA,0.7164,"ns"
