"PC","test","pair","R2","F_value","p_value","sig"
"PC9","Pairwise PERMANOVA","C2a vs C2b2",0.2691,13.25,0.011,"*"
"PC9","Pairwise PERMANOVA","C2b1 vs C2b2",0.0638,2.45,0.2668,"ns"
"PC9","Pairwise PERMDISP","A1 vs A2",NA,NA,0.5345,"ns"
"PC9","Pairwise PERMDISP","A1 vs B1",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","A1 vs B2a",NA,NA,0.9986,"ns"
"PC9","Pairwise PERMDISP","A1 vs B2b",NA,NA,0.9581,"ns"
"PC9","Pairwise PERMDISP","A1 vs C1a",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","A1 vs C1b1",NA,NA,0.8928,"ns"
"PC9","Pairwise PERMDISP","A1 vs C1b2",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","A1 vs C2a",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","A1 vs C2b1",NA,NA,0.9998,"ns"
"PC9","Pairwise PERMDISP","A1 vs C2b2",NA,NA,0.9762,"ns"
"PC9","Pairwise PERMDISP","A2 vs B1",NA,NA,0.253,"ns"
"PC9","Pairwise PERMDISP","A2 vs B2a",NA,NA,0.9087,"ns"
"PC9","Pairwise PERMDISP","A2 vs B2b",NA,NA,0.9833,"ns"
"PC9","Pairwise PERMDISP","A2 vs C1a",NA,NA,0.1882,"ns"
"PC9","Pairwise PERMDISP","A2 vs C1b1",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","A2 vs C1b2",NA,NA,0.0751,"ns"
"PC9","Pairwise PERMDISP","A2 vs C2a",NA,NA,0.3511,"ns"
"PC9","Pairwise PERMDISP","A2 vs C2b1",NA,NA,0.8906,"ns"
"PC9","Pairwise PERMDISP","A2 vs C2b2",NA,NA,0.9626,"ns"
"PC9","Pairwise PERMDISP","B1 vs B2a",NA,NA,0.9905,"ns"
"PC9","Pairwise PERMDISP","B1 vs B2b",NA,NA,0.8233,"ns"
"PC9","Pairwise PERMDISP","B1 vs C1a",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B1 vs C1b1",NA,NA,0.7468,"ns"
"PC9","Pairwise PERMDISP","B1 vs C1b2",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B1 vs C2a",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B1 vs C2b1",NA,NA,0.9987,"ns"
"PC9","Pairwise PERMDISP","B1 vs C2b2",NA,NA,0.882,"ns"
"PC9","Pairwise PERMDISP","B2a vs B2b",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B2a vs C1a",NA,NA,0.9692,"ns"
"PC9","Pairwise PERMDISP","B2a vs C1b1",NA,NA,0.9983,"ns"
"PC9","Pairwise PERMDISP","B2a vs C1b2",NA,NA,0.8971,"ns"
"PC9","Pairwise PERMDISP","B2a vs C2a",NA,NA,0.9942,"ns"
"PC9","Pairwise PERMDISP","B2a vs C2b1",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B2a vs C2b2",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B2b vs C1a",NA,NA,0.7164,"ns"
"PC9","Pairwise PERMDISP","B2b vs C1b1",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","B2b vs C1b2",NA,NA,0.4604,"ns"
"PC9","Pairwise PERMDISP","B2b vs C2a",NA,NA,0.887,"ns"
"PC9","Pairwise PERMDISP","B2b vs C2b1",NA,NA,0.9999,"ns"
"PC9","Pairwise PERMDISP","B2b vs C2b2",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","C1a vs C1b1",NA,NA,0.6453,"ns"
"PC9","Pairwise PERMDISP","C1a vs C1b2",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","C1a vs C2a",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","C1a vs C2b1",NA,NA,0.9936,"ns"
"PC9","Pairwise PERMDISP","C1a vs C2b2",NA,NA,0.789,"ns"
"PC9","Pairwise PERMDISP","C1b1 vs C1b2",NA,NA,0.4599,"ns"
"PC9","Pairwise PERMDISP","C1b1 vs C2a",NA,NA,0.8031,"ns"
"PC9","Pairwise PERMDISP","C1b1 vs C2b1",NA,NA,0.9962,"ns"
"PC9","Pairwise PERMDISP","C1b1 vs C2b2",NA,NA,0.9999,"ns"
"PC9","Pairwise PERMDISP","C1b2 vs C2a",NA,NA,1,"ns"
"PC9","Pairwise PERMDISP","C1b2 vs C2b1",NA,NA,0.9728,"ns"
"PC9","Pairwise PERMDISP","C1b2 vs C2b2",NA,NA,0.5482,"ns"
"PC9","Pairwise PERMDISP","C2a vs C2b1",NA,NA,0.9992,"ns"
"PC9","Pairwise PERMDISP","C2a vs C2b2",NA,NA,0.9279,"ns"
"PC9","Pairwise PERMDISP","C2b1 vs C2b2",NA,NA,1,"ns"
