"k","PC","test","pair","R2","F_value","p_value","sig"
6,"PC2","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9999,"ns"
6,"PC2","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9922,"ns"
6,"PC2","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9997,"ns"
6,"PC2","Pairwise PERMDISP","C2 vs C4",NA,NA,0.8291,"ns"
6,"PC2","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9389,"ns"
6,"PC2","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9703,"ns"
6,"PC2","Pairwise PERMDISP","C3 vs C4",NA,NA,0.8824,"ns"
6,"PC2","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9735,"ns"
6,"PC2","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9924,"ns"
6,"PC2","Pairwise PERMDISP","C4 vs C5",NA,NA,0.9997,"ns"
6,"PC2","Pairwise PERMDISP","C4 vs C6",NA,NA,0.986,"ns"
6,"PC2","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9996,"ns"
6,"PC3","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.135,2.71,0.023,"*"
6,"PC3","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,4.02,0.0025,"**"
6,"PC3","Pairwise PERMANOVA","C1 vs C2",0,0,0.991,"ns"
6,"PC3","Pairwise PERMANOVA","C1 vs C3",0.0544,1.78,0.2686,"ns"
6,"PC3","Pairwise PERMANOVA","C1 vs C4",0.0092,0.22,0.7431,"ns"
6,"PC3","Pairwise PERMANOVA","C1 vs C5",0.1179,3.21,0.2138,"ns"
6,"PC3","Pairwise PERMANOVA","C1 vs C6",0.1224,5.3,0.135,"ns"
6,"PC3","Pairwise PERMANOVA","C2 vs C3",0.0864,2.55,0.2138,"ns"
6,"PC3","Pairwise PERMANOVA","C2 vs C4",0.0159,0.32,0.7431,"ns"
6,"PC3","Pairwise PERMANOVA","C2 vs C5",0.1725,4.17,0.135,"ns"
6,"PC3","Pairwise PERMANOVA","C2 vs C6",0.1468,5.85,0.135,"ns"
6,"PC3","Pairwise PERMANOVA","C3 vs C4",0.0614,1.9,0.2686,"ns"
6,"PC3","Pairwise PERMANOVA","C3 vs C5",0.0718,2.24,0.225,"ns"
6,"PC3","Pairwise PERMANOVA","C3 vs C6",0.0559,2.55,0.2138,"ns"
6,"PC3","Pairwise PERMANOVA","C4 vs C5",0.1763,4.71,0.135,"ns"
6,"PC3","Pairwise PERMANOVA","C4 vs C6",0.13,5.38,0.135,"ns"
6,"PC3","Pairwise PERMANOVA","C5 vs C6",2e-04,0.01,0.991,"ns"
6,"PC3","Pairwise PERMDISP","C1 vs C2",NA,NA,0.6744,"ns"
6,"PC3","Pairwise PERMDISP","C1 vs C3",NA,NA,0.0041,"**"
6,"PC3","Pairwise PERMDISP","C1 vs C4",NA,NA,0.0038,"**"
6,"PC3","Pairwise PERMDISP","C1 vs C5",NA,NA,0.1626,"ns"
6,"PC3","Pairwise PERMDISP","C1 vs C6",NA,NA,0.0255,"*"
6,"PC3","Pairwise PERMDISP","C2 vs C3",NA,NA,0.4652,"ns"
6,"PC3","Pairwise PERMDISP","C2 vs C4",NA,NA,0.3322,"ns"
6,"PC3","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9698,"ns"
6,"PC3","Pairwise PERMDISP","C2 vs C6",NA,NA,0.8529,"ns"
6,"PC3","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9977,"ns"
6,"PC3","Pairwise PERMDISP","C3 vs C5",NA,NA,0.9139,"ns"
6,"PC3","Pairwise PERMDISP","C3 vs C6",NA,NA,0.9435,"ns"
6,"PC3","Pairwise PERMDISP","C4 vs C5",NA,NA,0.7775,"ns"
6,"PC3","Pairwise PERMDISP","C4 vs C6",NA,NA,0.8084,"ns"
6,"PC3","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9998,"ns"
6,"PC4","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.0786,1.48,0.206,"ns"
6,"PC4","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,3.52,0.006,"**"
6,"PC4","Pairwise PERMANOVA","C1 vs C2",0.0153,0.34,0.7535,"ns"
6,"PC4","Pairwise PERMANOVA","C1 vs C3",0.0313,1,0.6113,"ns"
6,"PC4","Pairwise PERMANOVA","C1 vs C4",0.1014,2.71,0.58,"ns"
6,"PC4","Pairwise PERMANOVA","C1 vs C5",3e-04,0.01,0.914,"ns"
6,"PC4","Pairwise PERMANOVA","C1 vs C6",0.0094,0.36,0.7535,"ns"
6,"PC4","Pairwise PERMANOVA","C2 vs C3",0.0646,1.87,0.606,"ns"
6,"PC4","Pairwise PERMANOVA","C2 vs C4",0.0381,0.79,0.6267,"ns"
6,"PC4","Pairwise PERMANOVA","C2 vs C5",0.0104,0.21,0.7535,"ns"
6,"PC4","Pairwise PERMANOVA","C2 vs C6",4e-04,0.01,0.914,"ns"
6,"PC4","Pairwise PERMANOVA","C3 vs C4",0.153,5.24,0.465,"ns"
6,"PC4","Pairwise PERMANOVA","C3 vs C5",0.0335,1.01,0.6113,"ns"
6,"PC4","Pairwise PERMANOVA","C3 vs C6",0.0698,3.22,0.58,"ns"
6,"PC4","Pairwise PERMANOVA","C4 vs C5",0.0839,2.02,0.606,"ns"
6,"PC4","Pairwise PERMANOVA","C4 vs C6",0.0324,1.21,0.6113,"ns"
6,"PC4","Pairwise PERMANOVA","C5 vs C6",0.0057,0.21,0.7535,"ns"
6,"PC4","Pairwise PERMDISP","C1 vs C2",NA,NA,1,"ns"
6,"PC4","Pairwise PERMDISP","C1 vs C3",NA,NA,0.2877,"ns"
6,"PC4","Pairwise PERMDISP","C1 vs C4",NA,NA,0.3773,"ns"
6,"PC4","Pairwise PERMDISP","C1 vs C5",NA,NA,1,"ns"
6,"PC4","Pairwise PERMDISP","C1 vs C6",NA,NA,1,"ns"
6,"PC4","Pairwise PERMDISP","C2 vs C3",NA,NA,0.3141,"ns"
6,"PC4","Pairwise PERMDISP","C2 vs C4",NA,NA,0.5673,"ns"
6,"PC4","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9999,"ns"
6,"PC4","Pairwise PERMDISP","C2 vs C6",NA,NA,1,"ns"
6,"PC4","Pairwise PERMDISP","C3 vs C4",NA,NA,0.0012,"**"
6,"PC4","Pairwise PERMDISP","C3 vs C5",NA,NA,0.3971,"ns"
6,"PC4","Pairwise PERMDISP","C3 vs C6",NA,NA,0.108,"ns"
6,"PC4","Pairwise PERMDISP","C4 vs C5",NA,NA,0.3645,"ns"
6,"PC4","Pairwise PERMDISP","C4 vs C6",NA,NA,0.3018,"ns"
6,"PC4","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9999,"ns"
6,"PC5","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.3056,7.66,0.001,"***"
6,"PC5","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,2.46,0.0393,"*"
6,"PC5","Pairwise PERMANOVA","C1 vs C2",0.0383,0.88,0.44,"ns"
6,"PC5","Pairwise PERMANOVA","C1 vs C3",0.7099,75.84,0.0075,"**"
6,"PC5","Pairwise PERMANOVA","C1 vs C4",0.3975,15.83,0.015,"*"
6,"PC5","Pairwise PERMANOVA","C1 vs C5",0.1899,5.62,0.0367,"*"
6,"PC5","Pairwise PERMANOVA","C1 vs C6",0.1438,6.38,0.0257,"*"
6,"PC5","Pairwise PERMANOVA","C2 vs C3",0.6963,61.9,0.0075,"**"
6,"PC5","Pairwise PERMANOVA","C2 vs C4",0.4354,15.42,0.01,"**"
6,"PC5","Pairwise PERMANOVA","C2 vs C5",0.2324,6.06,0.0435,"*"
6,"PC5","Pairwise PERMANOVA","C2 vs C6",0.1801,7.47,0.021,"*"
6,"PC5","Pairwise PERMANOVA","C3 vs C4",0.2197,8.16,0.0225,"*"
6,"PC5","Pairwise PERMANOVA","C3 vs C5",0.1072,3.48,0.0914,"ns"
6,"PC5","Pairwise PERMANOVA","C3 vs C6",0.1374,6.85,0.0337,"*"
6,"PC5","Pairwise PERMANOVA","C4 vs C5",3e-04,0.01,0.956,"ns"
6,"PC5","Pairwise PERMANOVA","C4 vs C6",0.0043,0.16,0.825,"ns"
6,"PC5","Pairwise PERMANOVA","C5 vs C6",0.0018,0.06,0.84,"ns"
6,"PC5","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9873,"ns"
6,"PC5","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9992,"ns"
6,"PC5","Pairwise PERMDISP","C1 vs C4",NA,NA,1,"ns"
6,"PC5","Pairwise PERMDISP","C1 vs C5",NA,NA,0.2006,"ns"
6,"PC5","Pairwise PERMDISP","C1 vs C6",NA,NA,0.4512,"ns"
6,"PC5","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9158,"ns"
6,"PC5","Pairwise PERMDISP","C2 vs C4",NA,NA,0.997,"ns"
6,"PC5","Pairwise PERMDISP","C2 vs C5",NA,NA,0.6641,"ns"
6,"PC5","Pairwise PERMDISP","C2 vs C6",NA,NA,0.9415,"ns"
6,"PC5","Pairwise PERMDISP","C3 vs C4",NA,NA,0.9955,"ns"
6,"PC5","Pairwise PERMDISP","C3 vs C5",NA,NA,0.0659,"ns"
6,"PC5","Pairwise PERMDISP","C3 vs C6",NA,NA,0.1584,"ns"
6,"PC5","Pairwise PERMDISP","C4 vs C5",NA,NA,0.3125,"ns"
6,"PC5","Pairwise PERMDISP","C4 vs C6",NA,NA,0.6294,"ns"
6,"PC5","Pairwise PERMDISP","C5 vs C6",NA,NA,0.9536,"ns"
6,"PC6","PERMANOVA (overall)","C1/C2/C3/C4/C5/C6",0.2004,4.36,0.003,"**"
6,"PC6","PERMDISP (overall)","C1/C2/C3/C4/C5/C6",NA,1.07,0.3799,"ns"
6,"PC6","Pairwise PERMANOVA","C1 vs C2",0.3484,11.77,0.015,"*"
6,"PC6","Pairwise PERMANOVA","C1 vs C3",0.2335,9.44,0.015,"*"
6,"PC6","Pairwise PERMANOVA","C1 vs C4",0.1777,5.19,0.06,"ns"
6,"PC6","Pairwise PERMANOVA","C1 vs C5",0.0298,0.74,0.5264,"ns"
6,"PC6","Pairwise PERMANOVA","C1 vs C6",0.0031,0.12,0.73,"ns"
6,"PC6","Pairwise PERMANOVA","C2 vs C3",0.0137,0.38,0.5839,"ns"
6,"PC6","Pairwise PERMANOVA","C2 vs C4",0.1343,3.1,0.18,"ns"
6,"PC6","Pairwise PERMANOVA","C2 vs C5",0.1533,3.62,0.1479,"ns"
6,"PC6","Pairwise PERMANOVA","C2 vs C6",0.2558,11.68,0.015,"*"
6,"PC6","Pairwise PERMANOVA","C3 vs C4",0.0419,1.27,0.381,"ns"
6,"PC6","Pairwise PERMANOVA","C3 vs C5",0.0863,2.74,0.2083,"ns"
6,"PC6","Pairwise PERMANOVA","C3 vs C6",0.1943,10.37,0.015,"*"
6,"PC6","Pairwise PERMANOVA","C4 vs C5",0.0259,0.59,0.5688,"ns"
6,"PC6","Pairwise PERMANOVA","C4 vs C6",0.0943,3.75,0.135,"ns"
6,"PC6","Pairwise PERMANOVA","C5 vs C6",0.0136,0.5,0.5688,"ns"
6,"PC6","Pairwise PERMDISP","C1 vs C2",NA,NA,0.9994,"ns"
6,"PC6","Pairwise PERMDISP","C1 vs C3",NA,NA,0.9626,"ns"
6,"PC6","Pairwise PERMDISP","C1 vs C4",NA,NA,0.8837,"ns"
6,"PC6","Pairwise PERMDISP","C1 vs C5",NA,NA,0.9014,"ns"
6,"PC6","Pairwise PERMDISP","C1 vs C6",NA,NA,0.9999,"ns"
6,"PC6","Pairwise PERMDISP","C2 vs C3",NA,NA,0.9989,"ns"
6,"PC6","Pairwise PERMDISP","C2 vs C4",NA,NA,0.7675,"ns"
6,"PC6","Pairwise PERMDISP","C2 vs C5",NA,NA,0.9883,"ns"
